Model,Accuracy,Precision_macro,Recall_macro,F1_macro,AUC,Parameters,Model_Size_MB,Training_Time_s,Inference_Time_s
Custom CNN,0.8073170781135559,0.8149425287356322,0.7746247713548322,0.785410000066252,0.8982435039715353,11169089,127.86544513702393,4577.27783536911,99.42415428161621
MobileNetV2,0.8902438879013062,0.8928684044565903,0.8746272770553009,0.8818965682791466,0.9569019519406651,2422081,11.05025863647461,2394.938192844391,105.58572793006897
ResNet50,0.6292682886123657,0.658925511040461,0.6603272444811947,0.629233002546346,0.7253752286451677,23850113,93.6090955734253,2400.121194601059,104.2333333492279
